nomem_encr,nohouse_encr,diet,theta,beta,alpha
893814,502685,meat,-.055555582,.75,.25
893911,593301,meat,.58518523,1,0
893939,537152,meat,.33703694,1,0
893969,520416,meat,.5333333,.75,.25
894546,524157,meat,.84814817,.75,.25
894595,540213,meat,.54814816,.75,.25
894622,589575,meat,.53703707,.75,.25
894808,551803,meat,.68518513,1,0
894818,547073,veg,1,.75,.25
894833,570172,meat,-.51851851,0,1
894931,594677,meat,.73333329,1,0
894946,566934,meat,.54814816,.75,.25
895053,549258,meat,.4814814,.25,.75
895367,518185,meat,.5333333,.75,.25
895373,589306,meat,.66296291,.75,.25
895410,516357,meat,.45555559,.25,.75
895529,562387,meat,-.11111108,.5,.5
895886,569387,meat,.61851853,.5,.5
895956,545904,meat,-.14444447,.5,.5
896151,522589,meat,0,.5,.5
896435,526757,meat,.20370372,.5,.5
896466,510525,meat,.71111107,.75,.25
896551,579302,meat,.7037037,.5,.5
896716,514520,meat,.33703694,.5,.5
896746,524588,meat,.33333334,.75,.25
896777,569229,meat,1,.75,.25
896847,508566,meat,.12222227,.75,.25
896972,528228,meat,.23703702,.5,.5
897253,598141,meat,-.44444442,0,1
897268,500512,meat,.91481477,.5,.5
897299,507150,meat,.41111103,.75,.25
897357,592443,meat,.4148148,.5,.5
897369,547097,meat,.64814824,.75,.25
897387,537057,veg,.92592591,.75,.25
897653,504458,meat,1,.75,.25
897702,556277,meat,.45185184,.5,.5
897952,505368,meat,.61851853,.75,.25
898025,594680,meat,.47037029,.75,.25
898034,537713,meat,.83333331,.75,.25
898104,504403,meat,.32592598,.5,.5
898184,511019,meat,1,.25,.75
898501,547811,meat,.54074067,.5,.5
898519,543807,meat,.62592602,.75,.25
898715,500253,meat,.33703709,.25,.75
898782,552243,meat,.12222227,.5,.5
899087,594891,meat,-.24444444,.5,.5
899121,554818,meat,.37777773,.5,.5
899234,544226,meat,.62592602,.5,.5
899325,546096,meat,.57777768,.75,.25
899768,514901,meat,.5333333,.25,.75
899905,579537,meat,.40370369,.25,.75
