event,kind,t,agent,partner,partner_diet,memory_buffer_diet_source_t
23023,rev,334363,1892,,,
23024,conv,334372,858,1745.0,veg,"[[""veg"", 446, 309794], [""veg"", 1745, 311784], [""meat"", 33, 312469], [""veg"", 1626, 314404], [""veg"", 1626, 322613], [""veg"", 94, 325853], [""veg"", 446, 327151], [""veg"", 1745, 329856], [""veg"", 1745, 334372]]"
23025,conv,334382,1572,256.0,veg,"[[""veg"", 1483, 307456], [""veg"", 1483, 310365], [""veg"", 256, 311904], [""veg"", 256, 313736], [""veg"", 256, 314072], [""veg"", 256, 321650], [""veg"", 256, 324751], [""veg"", 256, 333029], [""veg"", 256, 334382]]"
23026,rev,334383,1044,,,
23027,conv,334398,810,1120.0,veg,"[[""meat"", 90, 312045], [""veg"", 1120, 313930], [""veg"", 1120, 314287], [""veg"", 449, 314520], [""meat"", 90, 314969], [""veg"", 5, 316506], [""veg"", 1120, 327254], [""veg"", 1120, 332791], [""veg"", 1120, 334398]]"
23028,rev,334405,124,,,
23029,conv,334407,1772,18.0,veg,"[[""veg"", 1001, 278331], [""veg"", 1001, 289139], [""veg"", 18, 298372], [""veg"", 18, 301380], [""veg"", 25, 319621], [""veg"", 25, 325890], [""veg"", 18, 329592], [""veg"", 25, 333908], [""veg"", 18, 334407]]"
23030,conv,334411,1161,1.0,meat,"[[""veg"", 11, 314541], [""veg"", 1417, 317402], [""veg"", 960, 321294], [""veg"", 1433, 324150], [""veg"", 960, 325088], [""veg"", 1417, 326833], [""veg"", 960, 332646], [""meat"", 6, 332913], [""meat"", 1, 334411]]"
23031,rev,334424,1861,,,
23032,rev,334429,234,,,
23033,rev,334443,432,,,
23034,rev,334446,1634,,,
23035,conv,334453,1137,1297.0,veg,"[[""veg"", 677, 287084], [""veg"", 28, 291007], [""veg"", 28, 299679], [""veg"", 28, 321159], [""veg"", 677, 326495], [""veg"", 28, 326810], [""meat"", 1637, 328237], [""veg"", 28, 330293], [""veg"", 1297, 334453]]"
23036,conv,334455,1951,478.0,veg,"[[""veg"", 1419, 299207], [""veg"", 0, 319152], [""veg"", 78, 319831], [""meat"", 1539, 320755], [""veg"", 0, 323900], [""veg"", 1419, 324958], [""meat"", 1539, 330645], [""veg"", 0, 331187], [""veg"", 478, 334455]]"
23037,conv,334461,1095,1863.0,veg,"[[""veg"", 496, 297989], [""veg"", 26, 307436], [""veg"", 27, 311716], [""veg"", 27, 315494], [""veg"", 496, 316044], [""veg"", 496, 329696], [""veg"", 1728, 330894], [""veg"", 26, 331394], [""veg"", 1863, 334461]]"
23038,conv,334462,1968,892.0,veg,"[[""veg"", 15, 308085], [""veg"", 15, 308590], [""meat"", 99, 310402], [""veg"", 892, 319237], [""veg"", 15, 323945], [""veg"", 197, 327314], [""meat"", 197, 329517], [""veg"", 99, 331359], [""veg"", 892, 334462]]"
23039,conv,334465,1511,13.0,veg,"[[""veg"", 13, 290471], [""veg"", 114, 297314], [""veg"", 1530, 303186], [""veg"", 1244, 310997], [""veg"", 1530, 313690], [""meat"", 1244, 313846], [""meat"", 1244, 316034], [""veg"", 114, 328729], [""veg"", 13, 334465]]"
23040,conv,334474,770,122.0,veg,"[[""meat"", 601, 296501], [""veg"", 122, 307583], [""meat"", 601, 315501], [""veg"", 203, 317319], [""veg"", 122, 321375], [""veg"", 122, 321470], [""veg"", 171, 327630], [""veg"", 171, 327681], [""veg"", 122, 334474]]"
23041,rev,334477,1486,,,
23042,rev,334495,1377,,,
23043,rev,334496,1272,,,
23044,conv,334498,582,1025.0,veg,"[[""veg"", 923, 327501], [""veg"", 187, 328208], [""veg"", 191, 328652], [""veg"", 1661, 329095], [""veg"", 52, 329291], [""veg"", 66, 331160], [""veg"", 1025, 333564], [""veg"", 923, 333637], [""veg"", 1025, 334498]]"
23045,rev,334502,1684,,,
23046,rev,334508,187,,,
23047,conv,334517,182,1522.0,veg,"[[""veg"", 1479, 294416], [""veg"", 9, 304625], [""meat"", 1522, 305815], [""meat"", 9, 306533], [""meat"", 9, 311642], [""meat"", 134, 311786], [""veg"", 134, 318019], [""veg"", 1479, 328911], [""veg"", 1522, 334517]]"
23048,rev,334518,1511,,,
23049,rev,334529,1846,,,
23050,conv,334530,207,320.0,veg,"[[""veg"", 325, 319569], [""meat"", 225, 321912], [""veg"", 8, 322067], [""veg"", 1, 325793], [""veg"", 56, 328924], [""veg"", 1043, 329782], [""veg"", 320, 332257], [""meat"", 8, 334083], [""veg"", 320, 334530]]"
23051,rev,334535,1322,,,
23052,conv,334541,769,30.0,veg,"[[""veg"", 776, 310220], [""meat"", 158, 310607], [""veg"", 30, 311409], [""veg"", 30, 312492], [""veg"", 30, 316481], [""veg"", 1076, 319999], [""veg"", 776, 322528], [""veg"", 1076, 330321], [""veg"", 30, 334541]]"
23053,conv,334545,870,218.0,meat,"[[""veg"", 1832, 296304], [""veg"", 235, 305573], [""veg"", 1832, 311190], [""veg"", 235, 311521], [""veg"", 757, 318152], [""veg"", 757, 322905], [""meat"", 218, 325872], [""veg"", 1832, 330454], [""meat"", 218, 334545]]"
23054,rev,334554,427,,,
23055,conv,334558,997,766.0,veg,"[[""meat"", 1355, 310287], [""veg"", 56, 312802], [""veg"", 766, 312960], [""veg"", 56, 320589], [""veg"", 56, 321690], [""veg"", 766, 324028], [""veg"", 1355, 328832], [""veg"", 56, 330013], [""veg"", 766, 334558]]"
23056,rev,334564,1871,,,
23057,rev,334565,1966,,,
23058,rev,334566,1484,,,
23059,conv,334572,933,60.0,veg,"[[""meat"", 129, 260989], [""meat"", 60, 280846], [""veg"", 1821, 290037], [""meat"", 1054, 306896], [""veg"", 38, 310645], [""veg"", 129, 315668], [""veg"", 129, 318761], [""veg"", 38, 332318], [""veg"", 60, 334572]]"
23060,rev,334580,674,,,
23061,conv,334584,1253,4.0,meat,"[[""veg"", 190, 315322], [""veg"", 4, 316472], [""veg"", 4, 316998], [""veg"", 4, 323556], [""veg"", 139, 324083], [""veg"", 4, 325177], [""meat"", 397, 325357], [""veg"", 139, 326477], [""meat"", 4, 334584]]"
23062,conv,334585,17,544.0,veg,"[[""veg"", 1782, 300453], [""veg"", 1672, 303034], [""meat"", 19, 307461], [""veg"", 1, 312405], [""veg"", 171, 312838], [""veg"", 56, 313638], [""veg"", 1402, 321840], [""meat"", 1075, 334169], [""veg"", 544, 334585]]"
23063,conv,334586,1358,341.0,meat,"[[""veg"", 907, 306481], [""veg"", 651, 312635], [""veg"", 907, 313675], [""veg"", 1010, 314144], [""veg"", 57, 319535], [""veg"", 907, 325158], [""veg"", 907, 326411], [""veg"", 1010, 328095], [""meat"", 341, 334586]]"
23064,conv,334590,181,1003.0,veg,"[[""meat"", 36, 314207], [""veg"", 1003, 315067], [""veg"", 1003, 320032], [""veg"", 111, 320969], [""veg"", 1003, 321998], [""veg"", 111, 328775], [""veg"", 48, 330505], [""veg"", 10, 331422], [""veg"", 1003, 334590]]"
23065,conv,334592,2,20.0,veg,"[[""meat"", 1499, 300456], [""veg"", 447, 314551], [""veg"", 84, 316050], [""veg"", 144, 316167], [""veg"", 153, 321426], [""veg"", 339, 322232], [""veg"", 424, 322998], [""veg"", 1316, 324357], [""veg"", 20, 334592]]"
23066,rev,334598,1080,,,
23067,rev,334601,191,,,
23068,rev,334606,1137,,,
23069,conv,334607,229,1820.0,meat,"[[""veg"", 1056, 301065], [""meat"", 1527, 301161], [""meat"", 78, 320972], [""veg"", 15, 329539], [""veg"", 1777, 329576], [""veg"", 1056, 329906], [""veg"", 93, 330749], [""meat"", 1527, 331226], [""meat"", 1820, 334607]]"
23070,rev,334611,1686,,,
23071,conv,334612,1587,59.0,veg,"[[""veg"", 256, 306660], [""meat"", 148, 307520], [""veg"", 59, 309840], [""veg"", 59, 310375], [""meat"", 148, 311080], [""veg"", 59, 317295], [""veg"", 59, 317766], [""veg"", 256, 325397], [""veg"", 59, 334612]]"
23072,conv,334615,1778,40.0,veg,"[[""veg"", 1374, 292966], [""veg"", 258, 298548], [""veg"", 99, 309338], [""veg"", 1374, 309461], [""veg"", 1374, 309806], [""meat"", 258, 315845], [""veg"", 99, 321736], [""meat"", 258, 327376], [""veg"", 40, 334615]]"
23073,rev,334621,870,,,
23074,conv,334627,1486,6.0,meat,"[[""meat"", 592, 313611], [""veg"", 6, 315536], [""meat"", 193, 319197], [""veg"", 6, 320030], [""veg"", 6, 320957], [""veg"", 592, 329379], [""veg"", 592, 330967], [""veg"", 11, 334477], [""meat"", 6, 334627]]"
23075,conv,334636,65,879.0,meat,"[[""veg"", 230, 308207], [""veg"", 230, 309345], [""veg"", 1354, 318291], [""veg"", 68, 318454], [""veg"", 978, 327231], [""meat"", 2, 331514], [""veg"", 196, 331767], [""veg"", 946, 332603], [""meat"", 879, 334636]]"
23076,conv,334659,1371,1535.0,veg,"[[""veg"", 76, 261955], [""veg"", 659, 277471], [""meat"", 346, 283535], [""veg"", 331, 309502], [""meat"", 346, 318397], [""veg"", 464, 321995], [""veg"", 659, 326132], [""veg"", 346, 334192], [""veg"", 1535, 334659]]"
23077,conv,334666,949,946.0,veg,"[[""veg"", 831, 285266], [""veg"", 829, 294629], [""veg"", 831, 314714], [""veg"", 829, 315996], [""meat"", 1999, 322414], [""veg"", 831, 330556], [""veg"", 829, 332218], [""veg"", 59, 332398], [""veg"", 946, 334666]]"
23078,conv,334668,1378,197.0,meat,"[[""veg"", 197, 312773], [""veg"", 197, 319857], [""veg"", 15, 319961], [""veg"", 197, 320310], [""veg"", 197, 320963], [""meat"", 77, 322672], [""veg"", 1386, 327849], [""meat"", 1822, 334307], [""meat"", 197, 334668]]"
23079,conv,334675,970,215.0,veg,"[[""veg"", 215, 319156], [""veg"", 194, 320296], [""veg"", 194, 321264], [""veg"", 215, 322984], [""veg"", 194, 324049], [""veg"", 194, 326696], [""veg"", 194, 330912], [""veg"", 194, 331700], [""veg"", 215, 334675]]"
23080,conv,334679,3,732.0,veg,"[[""meat"", 310, 307687], [""veg"", 1958, 309620], [""veg"", 25, 312674], [""veg"", 1672, 315851], [""veg"", 1086, 317633], [""veg"", 310, 318885], [""meat"", 1880, 325585], [""veg"", 105, 327576], [""veg"", 732, 334679]]"
23081,rev,334687,974,,,
23082,conv,334688,99,236.0,meat,"[[""veg"", 39, 318060], [""meat"", 1778, 321098], [""veg"", 1172, 321359], [""veg"", 197, 325845], [""veg"", 373, 327340], [""veg"", 1172, 331136], [""veg"", 988, 332362], [""meat"", 35, 332703], [""meat"", 236, 334688]]"
23083,conv,334695,161,624.0,meat,"[[""meat"", 1, 297159], [""veg"", 264, 303052], [""veg"", 726, 305161], [""veg"", 666, 307993], [""veg"", 1, 309853], [""veg"", 20, 323395], [""veg"", 449, 327186], [""veg"", 875, 332445], [""meat"", 624, 334695]]"
23084,rev,334714,969,,,
23085,rev,334727,565,,,
23086,conv,334733,782,7.0,meat,"[[""meat"", 718, 319678], [""veg"", 562, 323090], [""meat"", 499, 323683], [""veg"", 718, 324602], [""veg"", 562, 329565], [""veg"", 1889, 331375], [""veg"", 718, 333020], [""veg"", 372, 334211], [""meat"", 7, 334733]]"
23087,rev,334740,1297,,,
23088,rev,334741,1766,,,
23089,conv,334744,1094,1573.0,meat,"[[""veg"", 620, 312938], [""meat"", 1573, 316923], [""veg"", 531, 317613], [""veg"", 531, 319782], [""veg"", 620, 323202], [""meat"", 1561, 333368], [""veg"", 620, 333783], [""meat"", 95, 334004], [""meat"", 1573, 334744]]"
23090,rev,334753,760,,,
23091,conv,334755,1959,544.0,veg,"[[""veg"", 544, 290913], [""veg"", 544, 294645], [""veg"", 544, 296016], [""veg"", 544, 310880], [""veg"", 1058, 324959], [""veg"", 1058, 325064], [""veg"", 1402, 329913], [""veg"", 17, 333577], [""veg"", 544, 334755]]"
23092,rev,334763,1023,,,
23093,conv,334764,1592,1323.0,veg,"[[""veg"", 1323, 300419], [""veg"", 314, 318196], [""veg"", 1022, 318731], [""veg"", 1022, 321376], [""veg"", 1323, 325311], [""veg"", 1323, 326689], [""meat"", 314, 330188], [""meat"", 314, 333873], [""veg"", 1323, 334764]]"
23094,conv,334768,419,59.0,veg,"[[""veg"", 180, 311083], [""veg"", 461, 313860], [""veg"", 16, 314602], [""veg"", 461, 315400], [""veg"", 461, 315659], [""veg"", 59, 322829], [""veg"", 0, 327313], [""veg"", 75, 331581], [""veg"", 59, 334768]]"
23095,conv,334770,131,0.0,veg,"[[""veg"", 1278, 303323], [""veg"", 165, 307748], [""veg"", 299, 308804], [""veg"", 462, 317465], [""veg"", 299, 319640], [""veg"", 58, 320631], [""veg"", 462, 321157], [""veg"", 1005, 327344], [""veg"", 0, 334770]]"
23096,conv,334771,968,680.0,veg,"[[""veg"", 680, 301901], [""meat"", 22, 303797], [""veg"", 15, 311312], [""veg"", 15, 316254], [""veg"", 15, 317785], [""veg"", 15, 320490], [""veg"", 680, 321680], [""veg"", 680, 331512], [""veg"", 680, 334771]]"
23097,conv,334776,467,7.0,meat,"[[""veg"", 38, 277264], [""veg"", 1353, 278571], [""veg"", 1065, 287655], [""veg"", 7, 294805], [""veg"", 1353, 296570], [""meat"", 179, 300964], [""meat"", 1028, 311698], [""veg"", 1494, 319494], [""meat"", 7, 334776]]"
23098,conv,334777,1511,114.0,veg,"[[""veg"", 1530, 303186], [""veg"", 1244, 310997], [""veg"", 1530, 313690], [""meat"", 1244, 313846], [""meat"", 1244, 316034], [""veg"", 114, 328729], [""veg"", 13, 334465], [""veg"", 1530, 334518], [""veg"", 114, 334777]]"
23099,rev,334782,878,,,
23100,rev,334804,753,,,
23101,rev,334810,1854,,,
23102,rev,334821,335,,,
23103,conv,334826,265,4.0,meat,"[[""veg"", 1548, 305403], [""veg"", 123, 306864], [""veg"", 15, 308116], [""veg"", 123, 309097], [""veg"", 549, 313244], [""veg"", 123, 320094], [""meat"", 218, 328735], [""veg"", 677, 329799], [""meat"", 4, 334826]]"
23104,rev,334831,1223,,,
23105,conv,334834,939,1796.0,veg,"[[""meat"", 99, 307650], [""veg"", 373, 307864], [""veg"", 197, 311544], [""veg"", 373, 312562], [""veg"", 1796, 315512], [""veg"", 99, 322236], [""meat"", 197, 332091], [""veg"", 1949, 333084], [""veg"", 1796, 334834]]"
23106,rev,334838,419,,,
23107,conv,334841,395,351.0,veg,"[[""veg"", 351, 310350], [""veg"", 1940, 312725], [""veg"", 805, 313396], [""veg"", 1940, 319912], [""veg"", 717, 326668], [""veg"", 351, 327774], [""veg"", 1940, 329986], [""meat"", 224, 333658], [""veg"", 351, 334841]]"
23108,conv,334861,1087,465.0,veg,"[[""veg"", 1, 305981], [""meat"", 465, 312552], [""veg"", 913, 314488], [""meat"", 193, 321329], [""meat"", 193, 322197], [""veg"", 1, 323585], [""veg"", 1, 324997], [""meat"", 193, 329219], [""veg"", 465, 334861]]"
23109,rev,334865,1599,,,
23110,rev,334866,941,,,
23111,rev,334876,1321,,,
23112,rev,334879,1691,,,
23113,rev,334883,231,,,
23114,rev,334887,24,,,
23115,rev,334889,894,,,
23116,conv,334895,1493,613.0,veg,"[[""veg"", 1198, 292427], [""veg"", 1198, 293889], [""meat"", 1064, 298720], [""veg"", 1198, 307120], [""meat"", 724, 312169], [""meat"", 1064, 314899], [""meat"", 724, 320723], [""meat"", 724, 326921], [""veg"", 613, 334895]]"
23117,conv,334899,1506,242.0,veg,"[[""meat"", 391, 315170], [""meat"", 50, 317777], [""veg"", 109, 319593], [""veg"", 1383, 327938], [""veg"", 391, 328863], [""veg"", 242, 330696], [""veg"", 242, 330996], [""veg"", 1383, 331768], [""veg"", 242, 334899]]"
23118,conv,334900,1947,235.0,veg,"[[""veg"", 59, 294491], [""veg"", 235, 299737], [""veg"", 59, 302545], [""veg"", 235, 302547], [""veg"", 380, 308770], [""veg"", 59, 315202], [""meat"", 235, 323617], [""meat"", 235, 326797], [""veg"", 235, 334900]]"
23119,rev,334908,1291,,,
23120,conv,334915,153,1266.0,veg,"[[""veg"", 1264, 298955], [""veg"", 1794, 311403], [""veg"", 453, 318410], [""veg"", 1139, 319151], [""veg"", 424, 319403], [""veg"", 598, 328549], [""veg"", 19, 329744], [""veg"", 25, 332465], [""veg"", 1266, 334915]]"
23121,rev,334919,205,,,
23122,rev,334947,151,,,
23123,conv,334952,645,978.0,veg,"[[""veg"", 775, 288169], [""veg"", 775, 289698], [""meat"", 1790, 306225], [""veg"", 978, 307343], [""veg"", 1764, 311998], [""meat"", 1764, 323009], [""meat"", 24, 324541], [""meat"", 19, 329977], [""veg"", 978, 334952]]"
23124,conv,334956,191,582.0,veg,"[[""veg"", 257, 301882], [""veg"", 27, 307891], [""meat"", 582, 318578], [""veg"", 825, 326183], [""veg"", 825, 327273], [""meat"", 1661, 334243], [""veg"", 1777, 334339], [""veg"", 257, 334601], [""veg"", 582, 334956]]"
23125,rev,334960,262,,,
23126,rev,334964,1189,,,
23127,conv,334970,32,425.0,veg,"[[""meat"", 441, 299935], [""veg"", 219, 315497], [""veg"", 1534, 319453], [""veg"", 1475, 321077], [""veg"", 49, 322840], [""veg"", 425, 325232], [""veg"", 245, 327507], [""veg"", 463, 332228], [""veg"", 425, 334970]]"
23128,conv,334976,1023,69.0,veg,"[[""veg"", 76, 312011], [""veg"", 69, 312095], [""veg"", 610, 315761], [""veg"", 69, 321325], [""veg"", 69, 322205], [""veg"", 76, 325329], [""veg"", 610, 328120], [""meat"", 6, 334763], [""veg"", 69, 334976]]"
23129,conv,334989,468,1431.0,veg,"[[""veg"", 80, 308674], [""veg"", 1285, 314929], [""veg"", 135, 315185], [""veg"", 1, 318562], [""veg"", 1351, 320703], [""veg"", 1285, 321069], [""veg"", 1, 323088], [""meat"", 1, 331171], [""veg"", 1431, 334989]]"
23130,conv,334993,197,1378.0,veg,"[[""veg"", 15, 296583], [""meat"", 939, 310871], [""veg"", 1814, 311725], [""meat"", 939, 314040], [""veg"", 1379, 315382], [""veg"", 1814, 326110], [""veg"", 1814, 328238], [""veg"", 1796, 329083], [""veg"", 1378, 334993]]"
23131,conv,334994,617,796.0,veg,"[[""veg"", 796, 290835], [""veg"", 638, 293013], [""meat"", 497, 294399], [""meat"", 497, 303043], [""veg"", 400, 308105], [""meat"", 400, 320696], [""veg"", 1893, 323853], [""veg"", 796, 327521], [""veg"", 796, 334994]]"
23132,rev,335013,1748,,,
23133,rev,335014,1474,,,
23134,conv,335027,1265,22.0,veg,"[[""veg"", 8, 276554], [""meat"", 8, 278698], [""veg"", 42, 279647], [""meat"", 244, 283302], [""veg"", 22, 289225], [""veg"", 266, 306050], [""veg"", 42, 319529], [""veg"", 266, 319552], [""veg"", 22, 335027]]"
23135,rev,335037,1086,,,
23136,conv,335057,745,428.0,veg,"[[""veg"", 285, 304486], [""veg"", 428, 306341], [""veg"", 348, 308788], [""veg"", 428, 314129], [""veg"", 13, 317252], [""veg"", 285, 325044], [""veg"", 428, 329008], [""veg"", 1011, 330322], [""veg"", 428, 335057]]"
23137,conv,335062,305,0.0,veg,"[[""meat"", 254, 320114], [""veg"", 1205, 324761], [""veg"", 1205, 326310], [""veg"", 1205, 329392], [""meat"", 254, 332085], [""meat"", 147, 332092], [""meat"", 254, 333338], [""meat"", 1531, 333725], [""veg"", 0, 335062]]"
23138,rev,335066,1950,,,
23139,rev,335074,1835,,,
23140,rev,335080,1332,,,
23141,rev,335109,1270,,,
23142,conv,335113,1510,777.0,meat,"[[""veg"", 247, 306410], [""veg"", 284, 311828], [""veg"", 284, 311906], [""meat"", 284, 316403], [""veg"", 247, 319662], [""veg"", 247, 321578], [""veg"", 247, 323036], [""meat"", 777, 331708], [""meat"", 777, 335113]]"
23143,conv,335115,205,499.0,veg,"[[""veg"", 0, 315221], [""meat"", 7, 319500], [""veg"", 0, 319835], [""meat"", 646, 321516], [""veg"", 718, 324337], [""veg"", 7, 329198], [""veg"", 442, 330421], [""veg"", 646, 334919], [""veg"", 499, 335115]]"
23144,rev,335116,1898,,,
23145,rev,335117,510,,,
23146,rev,335119,1827,,,
23147,rev,335124,383,,,
23148,conv,335126,1848,140.0,veg,"[[""meat"", 90, 293471], [""veg"", 1697, 294749], [""veg"", 466, 298289], [""veg"", 662, 299807], [""meat"", 466, 314556], [""veg"", 1697, 317272], [""veg"", 140, 319101], [""veg"", 90, 331607], [""veg"", 140, 335126]]"
23149,rev,335142,1544,,,
23150,conv,335157,314,222.0,meat,"[[""meat"", 1022, 293175], [""veg"", 1323, 294662], [""veg"", 6, 298907], [""veg"", 6, 303831], [""veg"", 1592, 305379], [""veg"", 1323, 311262], [""veg"", 135, 322020], [""meat"", 8, 326519], [""meat"", 222, 335157]]"
23151,rev,335158,1752,,,
23152,rev,335161,1298,,,
23153,rev,335166,260,,,
23154,conv,335175,85,713.0,veg,"[[""veg"", 1782, 304961], [""meat"", 554, 309117], [""meat"", 554, 310544], [""veg"", 1769, 310590], [""meat"", 335, 316141], [""meat"", 554, 318283], [""veg"", 1769, 318545], [""meat"", 388, 320523], [""veg"", 713, 335175]]"
23155,conv,335180,607,1001.0,meat,"[[""veg"", 904, 306737], [""veg"", 1047, 306770], [""veg"", 1001, 317865], [""veg"", 1047, 329571], [""meat"", 338, 329860], [""veg"", 30, 331421], [""meat"", 1001, 332914], [""veg"", 1123, 333639], [""meat"", 1001, 335180]]"
23156,conv,335184,474,885.0,veg,"[[""veg"", 509, 289162], [""veg"", 64, 291619], [""veg"", 509, 292722], [""meat"", 885, 296723], [""veg"", 1540, 308940], [""veg"", 885, 314341], [""veg"", 122, 319120], [""meat"", 885, 324522], [""veg"", 885, 335184]]"
23157,rev,335192,22,,,
23158,conv,335209,920,7.0,meat,"[[""veg"", 926, 295914], [""veg"", 421, 300329], [""veg"", 421, 307862], [""veg"", 1623, 308184], [""meat"", 7, 315042], [""veg"", 1623, 315138], [""meat"", 7, 323972], [""veg"", 719, 327408], [""meat"", 7, 335209]]"
23159,rev,335217,3,,,
23160,rev,335220,1555,,,
23161,conv,335221,1820,13.0,veg,"[[""veg"", 1777, 307514], [""veg"", 13, 308641], [""meat"", 229, 319125], [""veg"", 13, 322173], [""veg"", 1969, 324726], [""veg"", 229, 326109], [""veg"", 1969, 326386], [""veg"", 1777, 329494], [""veg"", 13, 335221]]"
23162,conv,335222,924,1874.0,veg,"[[""veg"", 194, 316501], [""veg"", 238, 317830], [""veg"", 1627, 320037], [""meat"", 238, 325654], [""veg"", 166, 325916], [""veg"", 1627, 326917], [""veg"", 1874, 327587], [""veg"", 166, 330219], [""veg"", 1874, 335222]]"
23163,rev,335231,976,,,
23164,conv,335235,1960,1859.0,veg,"[[""veg"", 63, 304589], [""veg"", 1715, 306730], [""veg"", 1859, 312883], [""veg"", 63, 317590], [""veg"", 1715, 320151], [""veg"", 1715, 328812], [""veg"", 1715, 331909], [""veg"", 1859, 332905], [""veg"", 1859, 335235]]"
23165,rev,335244,1209,,,
23166,rev,335249,676,,,
23167,rev,335252,799,,,
23168,rev,335253,265,,,
23169,rev,335255,555,,,
23170,rev,335262,1349,,,
23171,rev,335263,769,,,
23172,conv,335265,647,1163.0,veg,"[[""veg"", 56, 287035], [""meat"", 603, 291881], [""veg"", 1901, 299785], [""veg"", 1163, 301676], [""veg"", 1901, 306815], [""veg"", 1901, 307554], [""veg"", 352, 321167], [""veg"", 1163, 332706], [""veg"", 1163, 335265]]"
23173,rev,335275,30,,,
23174,conv,335280,253,398.0,meat,"[[""veg"", 789, 316524], [""veg"", 35, 317987], [""veg"", 609, 318871], [""veg"", 136, 319877], [""veg"", 398, 320369], [""veg"", 49, 325524], [""veg"", 789, 327502], [""veg"", 49, 327879], [""meat"", 398, 335280]]"
23175,conv,335285,282,1583.0,veg,"[[""veg"", 82, 313751], [""veg"", 106, 317514], [""veg"", 35, 317737], [""veg"", 82, 318182], [""veg"", 1583, 321437], [""veg"", 1847, 328991], [""veg"", 82, 332783], [""veg"", 82, 333059], [""veg"", 1583, 335285]]"
23176,rev,335297,1537,,,
23177,rev,335299,1166,,,
23178,conv,335303,1422,1007.0,meat,"[[""veg"", 458, 321260], [""veg"", 263, 322623], [""veg"", 194, 322835], [""veg"", 108, 326260], [""veg"", 108, 328391], [""meat"", 692, 329870], [""meat"", 692, 331282], [""veg"", 567, 333097], [""meat"", 1007, 335303]]"
23179,rev,335304,23,,,
23180,rev,335316,1587,,,
23181,conv,335323,1641,310.0,veg,"[[""veg"", 614, 293698], [""veg"", 310, 300854], [""veg"", 310, 301061], [""veg"", 3, 302650], [""veg"", 614, 313100], [""veg"", 3, 327109], [""meat"", 3, 332294], [""veg"", 614, 333022], [""veg"", 310, 335323]]"
23182,rev,335328,881,,,
23183,rev,335335,1070,,,
23184,rev,335337,1083,,,
23185,conv,335342,1537,114.0,veg,"[[""veg"", 59, 316860], [""meat"", 180, 318035], [""veg"", 114, 320188], [""veg"", 114, 321506], [""veg"", 749, 323432], [""veg"", 59, 324122], [""veg"", 59, 330434], [""meat"", 180, 335297], [""veg"", 114, 335342]]"
23186,conv,335350,648,177.0,veg,"[[""veg"", 762, 297735], [""meat"", 226, 300184], [""veg"", 762, 307306], [""veg"", 847, 307612], [""meat"", 226, 308427], [""meat"", 226, 309382], [""veg"", 847, 309574], [""veg"", 574, 332750], [""veg"", 177, 335350]]"
23187,rev,335357,1251,,,
23188,rev,335368,700,,,
23189,conv,335378,1226,102.0,meat,"[[""veg"", 178, 308406], [""veg"", 1426, 312662], [""veg"", 102, 313495], [""veg"", 178, 316449], [""meat"", 1852, 318434], [""veg"", 178, 323139], [""veg"", 102, 325989], [""veg"", 178, 332807], [""meat"", 102, 335378]]"
23190,rev,335384,851,,,
23191,rev,335396,1308,,,
23192,rev,335406,939,,,
23193,conv,335408,876,0.0,veg,"[[""veg"", 0, 312930], [""veg"", 69, 314994], [""veg"", 0, 319072], [""veg"", 69, 320074], [""veg"", 69, 322094], [""veg"", 69, 324068], [""veg"", 69, 330051], [""meat"", 186, 331227], [""veg"", 0, 335408]]"
23194,conv,335419,1275,36.0,veg,"[[""veg"", 915, 295153], [""veg"", 36, 303462], [""veg"", 4, 308141], [""veg"", 4, 311560], [""veg"", 36, 324523], [""veg"", 36, 325059], [""veg"", 36, 331430], [""veg"", 915, 331649], [""veg"", 36, 335419]]"
23195,rev,335425,1916,,,
23196,conv,335436,881,363.0,veg,"[[""veg"", 363, 314379], [""veg"", 256, 323741], [""veg"", 59, 326277], [""veg"", 59, 329647], [""meat"", 1251, 330080], [""meat"", 33, 333412], [""veg"", 59, 335258], [""veg"", 59, 335328], [""veg"", 363, 335436]]"
23197,conv,335458,1720,178.0,veg,"[[""meat"", 1662, 306637], [""veg"", 178, 306997], [""veg"", 178, 310854], [""veg"", 178, 310939], [""veg"", 1662, 314392], [""veg"", 1477, 314509], [""veg"", 178, 319734], [""veg"", 1477, 320752], [""veg"", 178, 335458]]"
23198,conv,335469,921,90.0,veg,"[[""veg"", 1366, 308539], [""veg"", 1233, 314307], [""veg"", 8, 324056], [""veg"", 852, 325005], [""veg"", 852, 326059], [""veg"", 679, 330976], [""veg"", 90, 333477], [""veg"", 852, 334346], [""veg"", 90, 335469]]"
23199,rev,335473,891,,,
23200,conv,335486,159,368.0,veg,"[[""meat"", 33, 308957], [""veg"", 1066, 309393], [""veg"", 1789, 315976], [""veg"", 993, 321119], [""veg"", 8, 321780], [""veg"", 1789, 329199], [""meat"", 368, 333100], [""veg"", 993, 334303], [""veg"", 368, 335486]]"
23201,rev,335493,1848,,,
23202,conv,335496,1420,1545.0,veg,"[[""meat"", 422, 293762], [""meat"", 422, 295949], [""veg"", 206, 296965], [""veg"", 1545, 302202], [""veg"", 15, 305298], [""veg"", 15, 310420], [""veg"", 15, 329257], [""veg"", 917, 332231], [""veg"", 1545, 335496]]"
